timetamp,iopv,time,date,iopv_lag
59:33.0,3.857,59:33.0,4/21/2020,3.856
00:06.0,3.856,00:06.0,4/21/2020,3.857
00:36.0,3.855,00:36.0,4/21/2020,3.856
02:21.0,3.854,11:02:21,4/21/2020,3.855
03:06.0,3.853,03:06.0,4/21/2020,3.854
03:36.0,3.854,03:36.0,4/21/2020,3.853
03:51.0,3.853,03:51.0,4/21/2020,3.854
04:06.0,3.854,04:06.0,4/21/2020,3.853
04:21.0,3.853,11:04:21,4/21/2020,3.854
05:06.0,3.854,11:05:06,4/21/2020,3.853
05:21.0,3.853,11:05:21,4/21/2020,3.854
05:36.0,3.854,05:36.0,4/21/2020,3.853
05:51.0,3.853,05:51.0,4/21/2020,3.854
06:54.0,3.854,06:54.0,4/21/2020,3.853
07:09.0,3.853,07:09.0,4/21/2020,3.854
07:54.0,3.852,07:54.0,4/21/2020,3.853
08:54.0,3.851,11:08:54,4/21/2020,3.852
09:54.0,3.852,09:54.0,4/21/2020,3.851
10:39.0,3.853,10:39.0,4/21/2020,3.852
10:54.0,3.852,11:10:54,4/21/2020,3.853
11:09.0,3.853,11:11:09,4/21/2020,3.852
11:54.0,3.852,11:11:54,4/21/2020,3.853
12:09.0,3.851,12:09.0,4/21/2020,3.852
12:27.0,3.85,11:12:27,4/21/2020,3.851
12:57.0,3.849,11:12:57,4/21/2020,3.85
13:12.0,3.85,11:13:12,4/21/2020,3.849
13:27.0,3.849,13:27.0,4/21/2020,3.85
13:42.0,3.85,13:42.0,4/21/2020,3.849
13:57.0,3.849,13:57.0,4/21/2020,3.85
15:12.0,3.848,11:15:12,4/21/2020,3.849
15:27.0,3.847,11:15:27,4/21/2020,3.848
17:45.0,3.848,17:45.0,4/21/2020,3.847
19:15.0,3.849,11:19:15,4/21/2020,3.848
20:30.0,3.848,20:30.0,4/21/2020,3.849
21:45.0,3.847,11:21:45,4/21/2020,3.848
22:30.0,3.846,11:22:30,4/21/2020,3.847
23:00.0,3.845,23:00.0,4/21/2020,3.846
24:03.0,3.844,11:24:03,4/21/2020,3.845
24:33.0,3.843,24:33.0,4/21/2020,3.844
24:48.0,3.844,24:48.0,4/21/2020,3.843
25:03.0,3.842,25:03.0,4/21/2020,3.844
25:18.0,3.843,25:18.0,4/21/2020,3.842
25:33.0,3.842,11:25:33,4/21/2020,3.843
26:18.0,3.841,11:26:18,4/21/2020,3.842
26:33.0,3.84,11:26:33,4/21/2020,3.841
27:33.0,3.839,27:33.0,4/21/2020,3.84
27:48.0,3.84,27:48.0,4/21/2020,3.839
28:03.0,3.839,28:03.0,4/21/2020,3.84
28:18.0,3.84,28:18.0,4/21/2020,3.839
28:33.0,3.839,11:28:33,4/21/2020,3.84
29:21.0,3.84,29:21.0,4/21/2020,3.839
00:06.0,3.841,13:00:06,4/21/2020,3.84
00:24.0,3.839,00:24.0,4/21/2020,3.841
00:39.0,3.838,13:00:39,4/21/2020,3.839
00:54.0,3.839,13:00:54,4/21/2020,3.838
01:24.0,3.838,13:01:24,4/21/2020,3.839
01:39.0,3.839,13:01:39,4/21/2020,3.838
01:54.0,3.838,13:01:54,4/21/2020,3.839
02:39.0,3.837,02:39.0,4/21/2020,3.838
02:54.0,3.838,02:54.0,4/21/2020,3.837
03:09.0,3.837,03:09.0,4/21/2020,3.838
03:24.0,3.836,13:03:24,4/21/2020,3.837
03:39.0,3.835,13:03:39,4/21/2020,3.836
04:09.0,3.834,13:04:09,4/21/2020,3.835
04:39.0,3.833,04:39.0,4/21/2020,3.834
04:54.0,3.832,04:54.0,4/21/2020,3.833
06:09.0,3.833,06:09.0,4/21/2020,3.832
06:24.0,3.832,13:06:24,4/21/2020,3.833
06:54.0,3.831,13:06:54,4/21/2020,3.832
07:27.0,3.832,13:07:27,4/21/2020,3.831
08:27.0,3.833,13:08:27,4/21/2020,3.832
08:42.0,3.832,13:08:42,4/21/2020,3.833
08:57.0,3.833,08:57.0,4/21/2020,3.832
09:42.0,3.834,09:42.0,4/21/2020,3.833
10:27.0,3.835,13:10:27,4/21/2020,3.834
11:42.0,3.836,11:42.0,4/21/2020,3.835
11:57.0,3.837,11:57.0,4/21/2020,3.836
12:12.0,3.836,12:12.0,4/21/2020,3.837
12:42.0,3.835,12:42.0,4/21/2020,3.836
13:12.0,3.834,13:13:12,4/21/2020,3.835
15:00.0,3.833,13:15:00,4/21/2020,3.834
15:30.0,3.832,15:30.0,4/21/2020,3.833
16:45.0,3.834,16:45.0,4/21/2020,3.832
17:00.0,3.833,13:17:00,4/21/2020,3.834
17:30.0,3.834,13:17:30,4/21/2020,3.833
18:00.0,3.835,13:18:00,4/21/2020,3.834
18:30.0,3.836,18:30.0,4/21/2020,3.835
19:00.0,3.837,19:00.0,4/21/2020,3.836
19:45.0,3.838,13:19:45,4/21/2020,3.837
20:18.0,3.839,20:18.0,4/21/2020,3.838
20:33.0,3.84,20:33.0,4/21/2020,3.839
20:48.0,3.841,20:48.0,4/21/2020,3.84
21:48.0,3.84,13:21:48,4/21/2020,3.841
22:18.0,3.839,22:18.0,4/21/2020,3.84
22:33.0,3.84,22:33.0,4/21/2020,3.839
22:48.0,3.839,22:48.0,4/21/2020,3.84
25:03.0,3.84,25:03.0,4/21/2020,3.839
25:48.0,3.842,25:48.0,4/21/2020,3.84
26:36.0,3.839,26:36.0,4/21/2020,3.842
29:06.0,3.838,29:06.0,4/21/2020,3.839
31:06.0,3.837,13:31:06,4/21/2020,3.838
31:21.0,3.838,13:31:21,4/21/2020,3.837
31:36.0,3.841,13:31:36,4/21/2020,3.838
32:09.0,3.842,13:32:09,4/21/2020,3.841
32:24.0,3.843,13:32:24,4/21/2020,3.842
32:39.0,3.842,13:32:39,4/21/2020,3.843
32:54.0,3.841,32:54.0,4/21/2020,3.842
33:09.0,3.84,33:09.0,4/21/2020,3.841
33:54.0,3.841,33:54.0,4/21/2020,3.84
34:09.0,3.842,34:09.0,4/21/2020,3.841
35:09.0,3.843,13:35:09,4/21/2020,3.842
36:39.0,3.842,36:39.0,4/21/2020,3.843
37:09.0,3.841,13:37:09,4/21/2020,3.842
40:57.0,3.842,40:57.0,4/21/2020,3.841
41:12.0,3.84,13:41:12,4/21/2020,3.842
41:42.0,3.839,13:41:42,4/21/2020,3.84
42:57.0,3.84,42:57.0,4/21/2020,3.839
43:12.0,3.839,43:12.0,4/21/2020,3.84
44:42.0,3.841,13:44:42,4/21/2020,3.839
46:30.0,3.84,46:30.0,4/21/2020,3.841
47:00.0,3.839,47:00.0,4/21/2020,3.84
47:30.0,3.84,47:30.0,4/21/2020,3.839
47:45.0,3.839,47:45.0,4/21/2020,3.84
49:15.0,3.838,49:15.0,4/21/2020,3.839
49:30.0,3.839,49:30.0,4/21/2020,3.838
49:45.0,3.838,49:45.0,4/21/2020,3.839
51:30.0,3.839,13:51:30,4/21/2020,3.838
51:45.0,3.84,13:51:45,4/21/2020,3.839
52:00.0,3.841,52:00.0,4/21/2020,3.84
52:18.0,3.84,13:52:18,4/21/2020,3.841
53:03.0,3.841,53:03.0,4/21/2020,3.84
53:18.0,3.84,53:18.0,4/21/2020,3.841
53:33.0,3.839,53:33.0,4/21/2020,3.84
53:48.0,3.84,53:48.0,4/21/2020,3.839
54:18.0,3.839,54:18.0,4/21/2020,3.84
54:48.0,3.84,13:54:48,4/21/2020,3.839
57:36.0,3.841,57:36.0,4/21/2020,3.84
57:51.0,3.842,57:51.0,4/21/2020,3.841
58:21.0,3.841,58:21.0,4/21/2020,3.842
00:36.0,3.84,00:36.0,4/21/2020,3.841
00:51.0,3.841,00:51.0,4/21/2020,3.84
01:21.0,3.842,14:01:21,4/21/2020,3.841
01:51.0,3.844,14:01:51,4/21/2020,3.842
02:06.0,3.846,14:02:06,4/21/2020,3.844
02:21.0,3.848,14:02:21,4/21/2020,3.846
03:39.0,3.847,14:03:39,4/21/2020,3.848
04:39.0,3.848,04:39.0,4/21/2020,3.847
05:24.0,3.849,14:05:24,4/21/2020,3.848
05:39.0,3.85,14:05:39,4/21/2020,3.849
06:39.0,3.849,06:39.0,4/21/2020,3.85
06:54.0,3.848,06:54.0,4/21/2020,3.849
09:57.0,3.849,14:09:57,4/21/2020,3.848
10:27.0,3.85,14:10:27,4/21/2020,3.849
10:42.0,3.851,10:42.0,4/21/2020,3.85
11:12.0,3.852,11:12.0,4/21/2020,3.851
13:27.0,3.853,13:27.0,4/21/2020,3.852
13:42.0,3.852,13:42.0,4/21/2020,3.853
14:00.0,3.853,14:14:00,4/21/2020,3.852
14:45.0,3.852,14:45.0,4/21/2020,3.853
15:00.0,3.851,15:00.0,4/21/2020,3.852
15:15.0,3.849,15:15.0,4/21/2020,3.851
15:30.0,3.851,15:30.0,4/21/2020,3.849
15:45.0,3.85,15:45.0,4/21/2020,3.851
17:00.0,3.851,14:17:00,4/21/2020,3.85
17:15.0,3.852,14:17:15,4/21/2020,3.851
18:00.0,3.853,18:00.0,4/21/2020,3.852
18:15.0,3.852,18:15.0,4/21/2020,3.853
19:45.0,3.853,14:19:45,4/21/2020,3.852
20:00.0,3.854,14:20:00,4/21/2020,3.853
20:33.0,3.857,14:20:33,4/21/2020,3.854
21:03.0,3.858,14:21:03,4/21/2020,3.857
21:33.0,3.859,21:33.0,4/21/2020,3.858
22:18.0,3.858,22:18.0,4/21/2020,3.859
22:48.0,3.857,14:22:48,4/21/2020,3.858
25:36.0,3.856,25:36.0,4/21/2020,3.857
26:06.0,3.857,26:06.0,4/21/2020,3.856
28:51.0,3.856,28:51.0,4/21/2020,3.857
30:21.0,3.857,14:30:21,4/21/2020,3.856
30:36.0,3.858,14:30:36,4/21/2020,3.857
31:06.0,3.859,31:06.0,4/21/2020,3.858
31:24.0,3.86,14:31:24,4/21/2020,3.859
32:24.0,3.861,32:24.0,4/21/2020,3.86
33:39.0,3.86,14:33:39,4/21/2020,3.861
34:24.0,3.859,14:34:24,4/21/2020,3.86
34:54.0,3.86,34:54.0,4/21/2020,3.859
35:24.0,3.859,35:24.0,4/21/2020,3.86
35:39.0,3.86,35:39.0,4/21/2020,3.859
35:54.0,3.861,35:54.0,4/21/2020,3.86
36:09.0,3.86,36:09.0,4/21/2020,3.861
36:24.0,3.861,14:36:24,4/21/2020,3.86
36:39.0,3.862,14:36:39,4/21/2020,3.861
37:27.0,3.863,14:37:27,4/21/2020,3.862
37:42.0,3.862,14:37:42,4/21/2020,3.863
38:12.0,3.863,14:38:12,4/21/2020,3.862
39:27.0,3.862,39:27.0,4/21/2020,3.863
39:42.0,3.863,39:42.0,4/21/2020,3.862
40:12.0,3.862,14:40:12,4/21/2020,3.863
41:27.0,3.861,41:27.0,4/21/2020,3.862
41:42.0,3.86,41:42.0,4/21/2020,3.861
42:27.0,3.859,42:27.0,4/21/2020,3.86
43:42.0,3.86,14:43:42,4/21/2020,3.859
44:15.0,3.861,14:44:15,4/21/2020,3.86
44:45.0,3.86,14:44:45,4/21/2020,3.861
45:00.0,3.861,14:45:00,4/21/2020,3.86
45:30.0,3.862,45:30.0,4/21/2020,3.861
47:30.0,3.863,14:47:30,4/21/2020,3.862
47:45.0,3.862,14:47:45,4/21/2020,3.863
50:48.0,3.861,50:48.0,4/21/2020,3.862
15:03.0,,15:03.0,4/22/2020,
15:09.0,3.861,15:09.0,4/22/2020,
25:15.0,3.842,25:15.0,4/22/2020,3.861
30:15.0,3.838,9:30:15,4/22/2020,3.842
30:30.0,3.837,30:30.0,4/22/2020,3.838
30:48.0,3.835,9:30:48,4/22/2020,3.837
31:03.0,3.834,9:31:03,4/22/2020,3.835
31:18.0,3.835,9:31:18,4/22/2020,3.834
31:33.0,3.837,9:31:33,4/22/2020,3.835
31:48.0,3.838,31:48.0,4/22/2020,3.837
32:18.0,3.837,32:18.0,4/22/2020,3.838
32:33.0,3.835,32:33.0,4/22/2020,3.837
33:18.0,3.836,9:33:18,4/22/2020,3.835
33:48.0,3.837,9:33:48,4/22/2020,3.836
34:18.0,3.838,34:18.0,4/22/2020,3.837
34:33.0,3.839,34:33.0,4/22/2020,3.838
34:48.0,3.841,34:48.0,4/22/2020,3.839
35:03.0,3.842,35:03.0,4/22/2020,3.841
35:18.0,3.843,35:18.0,4/22/2020,3.842
35:48.0,3.842,35:48.0,4/22/2020,3.843
37:18.0,3.843,37:18.0,4/22/2020,3.842
37:36.0,3.842,9:37:36,4/22/2020,3.843
38:06.0,3.843,9:38:06,4/22/2020,3.842
38:21.0,3.841,9:38:21,4/22/2020,3.843
38:51.0,3.842,38:51.0,4/22/2020,3.841
39:06.0,3.841,39:06.0,4/22/2020,3.842
39:21.0,3.843,39:21.0,4/22/2020,3.841
39:36.0,3.844,39:36.0,4/22/2020,3.843
39:51.0,3.845,9:39:51,4/22/2020,3.844
40:06.0,3.846,9:40:06,4/22/2020,3.845
40:21.0,3.847,9:40:21,4/22/2020,3.846
40:36.0,3.848,9:40:36,4/22/2020,3.847
41:06.0,3.849,41:06.0,4/22/2020,3.848
41:36.0,3.848,41:36.0,4/22/2020,3.849
41:51.0,3.846,41:51.0,4/22/2020,3.848
42:06.0,3.848,42:06.0,4/22/2020,3.846
42:21.0,3.849,42:21.0,4/22/2020,3.848
42:36.0,3.851,9:42:36,4/22/2020,3.849
43:06.0,3.852,9:43:06,4/22/2020,3.851
43:39.0,3.85,43:39.0,4/22/2020,3.852
43:54.0,3.851,9:43:54,4/22/2020,3.85
44:39.0,3.852,9:44:39,4/22/2020,3.851
45:09.0,3.853,45:09.0,4/22/2020,3.852
45:24.0,3.852,45:24.0,4/22/2020,3.853
45:39.0,3.851,45:39.0,4/22/2020,3.852
46:09.0,3.85,46:09.0,4/22/2020,3.851
46:39.0,3.851,9:46:39,4/22/2020,3.85
47:09.0,3.85,9:47:09,4/22/2020,3.851
47:57.0,3.851,9:47:57,4/22/2020,3.85
48:12.0,3.852,9:48:12,4/22/2020,3.851
48:27.0,3.853,9:48:27,4/22/2020,3.852
48:42.0,3.854,9:48:42,4/22/2020,3.853
49:12.0,3.855,49:12.0,4/22/2020,3.854
49:42.0,3.856,49:42.0,4/22/2020,3.855
50:12.0,3.853,50:12.0,4/22/2020,3.856
50:27.0,3.852,50:27.0,4/22/2020,3.853
50:57.0,3.853,9:50:57,4/22/2020,3.852
51:42.0,3.854,9:51:42,4/22/2020,3.853
51:57.0,3.855,51:57.0,4/22/2020,3.854
54:00.0,3.856,54:00.0,4/22/2020,3.855
55:30.0,3.858,9:55:30,4/22/2020,3.856
55:45.0,3.859,55:45.0,4/22/2020,3.858
56:00.0,3.86,56:00.0,4/22/2020,3.859
56:15.0,3.859,56:15.0,4/22/2020,3.86
56:30.0,3.86,56:30.0,4/22/2020,3.859
56:45.0,3.861,56:45.0,4/22/2020,3.86
57:15.0,3.86,9:57:15,4/22/2020,3.861
57:30.0,3.859,9:57:30,4/22/2020,3.86
57:45.0,3.858,9:57:45,4/22/2020,3.859
59:03.0,3.857,9:59:03,4/22/2020,3.858
00:18.0,3.856,00:18.0,4/22/2020,3.857
00:33.0,3.857,00:33.0,4/22/2020,3.856
00:48.0,3.861,00:48.0,4/22/2020,3.857
01:03.0,3.86,01:03.0,4/22/2020,3.861
01:48.0,3.861,10:01:48,4/22/2020,3.86
02:33.0,3.86,02:33.0,4/22/2020,3.861
03:03.0,3.859,03:03.0,4/22/2020,3.86
03:18.0,3.858,03:18.0,4/22/2020,3.859
04:18.0,3.857,10:04:18,4/22/2020,3.858
05:21.0,3.856,10:05:21,4/22/2020,3.857
05:36.0,3.855,10:05:36,4/22/2020,3.856
06:06.0,3.854,10:06:06,4/22/2020,3.855
06:36.0,3.855,06:36.0,4/22/2020,3.854
06:51.0,3.856,06:51.0,4/22/2020,3.855
08:21.0,3.857,10:08:21,4/22/2020,3.856
09:06.0,3.858,10:09:06,4/22/2020,3.857
10:39.0,3.859,10:39.0,4/22/2020,3.858
10:54.0,3.858,10:54.0,4/22/2020,3.859
11:09.0,3.859,11:09.0,4/22/2020,3.858
11:54.0,3.858,10:11:54,4/22/2020,3.859
12:24.0,3.859,10:12:24,4/22/2020,3.858
13:39.0,3.86,13:39.0,4/22/2020,3.859
16:39.0,3.861,16:39.0,4/22/2020,3.86
17:12.0,3.862,17:12.0,4/22/2020,3.861
17:27.0,3.863,17:27.0,4/22/2020,3.862
18:42.0,3.864,10:18:42,4/22/2020,3.863
19:57.0,3.865,10:19:57,4/22/2020,3.864
20:27.0,3.866,20:27.0,4/22/2020,3.865
20:42.0,3.867,20:42.0,4/22/2020,3.866
21:12.0,3.865,21:12.0,4/22/2020,3.867
21:27.0,3.867,10:21:27,4/22/2020,3.865
21:42.0,3.868,10:21:42,4/22/2020,3.867
21:57.0,3.869,10:21:57,4/22/2020,3.868
22:27.0,3.868,10:22:27,4/22/2020,3.869
22:42.0,3.867,22:42.0,4/22/2020,3.868
23:27.0,3.868,23:27.0,4/22/2020,3.867
23:45.0,3.867,10:23:45,4/22/2020,3.868
24:15.0,3.866,24:15.0,4/22/2020,3.867
25:15.0,3.865,25:15.0,4/22/2020,3.866
25:30.0,3.866,10:25:30,4/22/2020,3.865
25:45.0,3.865,10:25:45,4/22/2020,3.866
26:00.0,3.866,10:26:00,4/22/2020,3.865
26:15.0,3.865,10:26:15,4/22/2020,3.866
26:45.0,3.864,26:45.0,4/22/2020,3.865
27:15.0,3.863,27:15.0,4/22/2020,3.864
27:30.0,3.862,27:30.0,4/22/2020,3.863
28:30.0,3.861,10:28:30,4/22/2020,3.862
29:03.0,3.862,29:03.0,4/22/2020,3.861
29:18.0,3.861,10:29:18,4/22/2020,3.862
30:03.0,3.86,10:30:03,4/22/2020,3.861
30:48.0,3.861,30:48.0,4/22/2020,3.86
32:33.0,3.86,10:32:33,4/22/2020,3.861
32:48.0,3.861,10:32:48,4/22/2020,3.86
33:03.0,3.859,10:33:03,4/22/2020,3.861
33:48.0,3.858,33:48.0,4/22/2020,3.859
35:36.0,3.859,35:36.0,4/22/2020,3.858
36:06.0,3.86,10:36:06,4/22/2020,3.859
39:21.0,3.861,10:39:21,4/22/2020,3.86
39:36.0,3.86,10:39:36,4/22/2020,3.861
40:21.0,3.859,40:21.0,4/22/2020,3.86
40:36.0,3.858,40:36.0,4/22/2020,3.859
41:09.0,3.857,10:41:09,4/22/2020,3.858
41:24.0,3.856,41:24.0,4/22/2020,3.857
41:54.0,3.857,41:54.0,4/22/2020,3.856
42:09.0,3.858,42:09.0,4/22/2020,3.857
42:24.0,3.859,42:24.0,4/22/2020,3.858
43:24.0,3.86,10:43:24,4/22/2020,3.859
43:54.0,3.859,10:43:54,4/22/2020,3.86
44:09.0,3.86,44:09.0,4/22/2020,3.859
46:54.0,3.861,10:46:54,4/22/2020,3.86
47:57.0,3.862,10:47:57,4/22/2020,3.861
49:12.0,3.863,49:12.0,4/22/2020,3.862
50:12.0,3.864,10:50:12,4/22/2020,3.863
50:42.0,3.865,10:50:42,4/22/2020,3.864
51:27.0,3.866,51:27.0,4/22/2020,3.865
51:42.0,3.864,51:42.0,4/22/2020,3.866
52:45.0,3.865,52:45.0,4/22/2020,3.864
52:57.0,3.864,10:52:57,4/22/2020,3.865
53:12.0,3.865,10:53:12,4/22/2020,3.864
55:15.0,3.864,55:15.0,4/22/2020,3.865
57:30.0,3.865,10:57:30,4/22/2020,3.864
58:30.0,3.866,58:30.0,4/22/2020,3.865
58:45.0,3.865,58:45.0,4/22/2020,3.866
59:00.0,3.866,59:00.0,4/22/2020,3.865
59:30.0,3.868,10:59:30,4/22/2020,3.866
00:18.0,3.867,11:00:18,4/22/2020,3.868
00:33.0,3.863,11:00:33,4/22/2020,3.867
00:48.0,3.862,11:00:48,4/22/2020,3.863
01:03.0,3.863,11:01:03,4/22/2020,3.862
01:33.0,3.864,11:01:33,4/22/2020,3.863
02:03.0,3.865,02:03.0,4/22/2020,3.864
03:18.0,3.864,11:03:18,4/22/2020,3.865
06:06.0,3.863,06:06.0,4/22/2020,3.864
06:51.0,3.862,06:51.0,4/22/2020,3.863
07:06.0,3.861,11:07:06,4/22/2020,3.862
08:06.0,3.86,11:08:06,4/22/2020,3.861
08:21.0,3.861,11:08:21,4/22/2020,3.86
08:36.0,3.86,08:36.0,4/22/2020,3.861
08:51.0,3.861,08:51.0,4/22/2020,3.86
09:06.0,3.86,09:06.0,4/22/2020,3.861
10:06.0,3.861,11:10:06,4/22/2020,3.86
10:21.0,3.86,11:10:21,4/22/2020,3.861
10:54.0,3.859,11:10:54,4/22/2020,3.86
11:09.0,3.858,11:11:09,4/22/2020,3.859
11:24.0,3.859,11:11:24,4/22/2020,3.858
11:39.0,3.858,11:11:39,4/22/2020,3.859
12:39.0,3.859,12:39.0,4/22/2020,3.858
12:54.0,3.858,12:54.0,4/22/2020,3.859
13:24.0,3.859,13:24.0,4/22/2020,3.858
13:39.0,3.858,13:39.0,4/22/2020,3.859
13:54.0,3.859,11:13:54,4/22/2020,3.858
14:24.0,3.858,11:14:24,4/22/2020,3.859
15:39.0,3.857,15:39.0,4/22/2020,3.858
16:57.0,3.858,16:57.0,4/22/2020,3.857
17:12.0,3.856,17:12.0,4/22/2020,3.858
17:42.0,3.857,11:17:42,4/22/2020,3.856
18:57.0,3.856,18:57.0,4/22/2020,3.857
19:12.0,3.855,19:12.0,4/22/2020,3.856
20:27.0,3.853,20:27.0,4/22/2020,3.855
20:42.0,3.851,11:20:42,4/22/2020,3.853
21:27.0,3.852,11:21:27,4/22/2020,3.851
22:12.0,3.851,22:12.0,4/22/2020,3.852
22:27.0,3.852,22:27.0,4/22/2020,3.851
22:42.0,3.853,22:42.0,4/22/2020,3.852
25:30.0,3.852,11:25:30,4/22/2020,3.853
25:45.0,3.854,25:45.0,4/22/2020,3.852
26:00.0,3.855,26:00.0,4/22/2020,3.854
26:30.0,3.856,26:30.0,4/22/2020,3.855
27:15.0,3.857,11:27:15,4/22/2020,3.856
27:45.0,3.856,11:27:45,4/22/2020,3.857
28:00.0,3.857,11:28:00,4/22/2020,3.856
29:30.0,3.858,29:30.0,4/22/2020,3.857
00:48.0,3.856,00:48.0,4/22/2020,3.858
01:03.0,3.857,01:03.0,4/22/2020,3.856
01:36.0,3.858,01:36.0,4/22/2020,3.857
02:06.0,3.859,02:06.0,4/22/2020,3.858
02:21.0,3.858,13:02:21,4/22/2020,3.859
02:36.0,3.857,13:02:36,4/22/2020,3.858
03:21.0,3.856,13:03:21,4/22/2020,3.857
03:36.0,3.857,03:36.0,4/22/2020,3.856
03:51.0,3.858,03:51.0,4/22/2020,3.857
04:36.0,3.859,04:36.0,4/22/2020,3.858
04:51.0,3.86,04:51.0,4/22/2020,3.859
05:36.0,3.861,13:05:36,4/22/2020,3.86
05:51.0,3.862,13:05:51,4/22/2020,3.861
06:06.0,3.863,13:06:06,4/22/2020,3.862
06:36.0,3.864,06:36.0,4/22/2020,3.863
07:06.0,3.865,07:06.0,4/22/2020,3.864
08:24.0,3.866,08:24.0,4/22/2020,3.865
09:54.0,3.865,13:09:54,4/22/2020,3.866
10:24.0,3.866,10:24.0,4/22/2020,3.865
10:54.0,3.867,10:54.0,4/22/2020,3.866
11:39.0,3.868,11:39.0,4/22/2020,3.867
12:39.0,3.869,13:12:39,4/22/2020,3.868
13:39.0,3.868,13:39.0,4/22/2020,3.869
13:54.0,3.869,13:54.0,4/22/2020,3.868
14:09.0,3.868,14:09.0,4/22/2020,3.869
14:54.0,3.869,13:14:54,4/22/2020,3.868
15:27.0,3.87,15:27.0,4/22/2020,3.869
17:27.0,3.871,17:27.0,4/22/2020,3.87
18:27.0,3.87,18:27.0,4/22/2020,3.871
18:42.0,3.871,13:18:42,4/22/2020,3.87
20:12.0,3.87,20:12.0,4/22/2020,3.871
20:27.0,3.871,20:27.0,4/22/2020,3.87
20:42.0,3.872,20:42.0,4/22/2020,3.871
21:12.0,3.873,21:12.0,4/22/2020,3.872
22:45.0,3.874,13:22:45,4/22/2020,3.873
23:15.0,3.875,13:23:15,4/22/2020,3.874
24:15.0,3.876,24:15.0,4/22/2020,3.875
24:30.0,3.875,24:30.0,4/22/2020,3.876
24:45.0,3.873,24:45.0,4/22/2020,3.875
25:00.0,3.872,25:00.0,4/22/2020,3.873
25:45.0,3.873,13:25:45,4/22/2020,3.872
27:00.0,3.874,27:00.0,4/22/2020,3.873
28:30.0,3.875,13:28:30,4/22/2020,3.874
29:33.0,3.876,13:29:33,4/22/2020,3.875
30:03.0,3.877,13:30:03,4/22/2020,3.876
30:33.0,3.878,30:33.0,4/22/2020,3.877
31:18.0,3.879,31:18.0,4/22/2020,3.878
31:33.0,3.878,31:33.0,4/22/2020,3.879
31:48.0,3.877,31:48.0,4/22/2020,3.878
32:03.0,3.876,32:03.0,4/22/2020,3.877
32:33.0,3.877,13:32:33,4/22/2020,3.876
33:03.0,3.876,13:33:03,4/22/2020,3.877
33:33.0,3.875,33:33.0,4/22/2020,3.876
34:06.0,3.876,13:34:06,4/22/2020,3.875
34:36.0,3.877,13:34:36,4/22/2020,3.876
35:06.0,3.878,35:06.0,4/22/2020,3.877
36:21.0,3.879,13:36:21,4/22/2020,3.878
36:51.0,3.878,13:36:51,4/22/2020,3.879
37:36.0,3.879,37:36.0,4/22/2020,3.878
37:51.0,3.878,37:51.0,4/22/2020,3.879
38:21.0,3.879,38:21.0,4/22/2020,3.878
39:09.0,3.878,39:09.0,4/22/2020,3.879
39:24.0,3.879,39:24.0,4/22/2020,3.878
40:24.0,3.88,13:40:24,4/22/2020,3.879
40:39.0,3.879,13:40:39,4/22/2020,3.88
40:54.0,3.88,13:40:54,4/22/2020,3.879
41:24.0,3.881,41:24.0,4/22/2020,3.88
41:39.0,3.882,41:39.0,4/22/2020,3.881
41:54.0,3.884,41:54.0,4/22/2020,3.882
42:24.0,3.885,42:24.0,4/22/2020,3.884
43:39.0,3.884,13:43:39,4/22/2020,3.885
43:54.0,3.883,13:43:54,4/22/2020,3.884
44:27.0,3.884,13:44:27,4/22/2020,3.883
44:57.0,3.885,13:44:57,4/22/2020,3.884
45:12.0,3.884,45:12.0,4/22/2020,3.885
45:27.0,3.883,45:27.0,4/22/2020,3.884
45:42.0,3.882,45:42.0,4/22/2020,3.883
48:42.0,3.883,48:42.0,4/22/2020,3.882
48:57.0,3.882,48:57.0,4/22/2020,3.883
49:42.0,3.883,13:49:42,4/22/2020,3.882
49:57.0,3.882,13:49:57,4/22/2020,3.883
50:12.0,3.883,13:50:12,4/22/2020,3.882
50:27.0,3.882,13:50:27,4/22/2020,3.883
50:45.0,3.881,13:50:45,4/22/2020,3.882
51:30.0,3.882,13:51:30,4/22/2020,3.881
53:00.0,3.883,53:00.0,4/22/2020,3.882
53:15.0,3.882,53:15.0,4/22/2020,3.883
54:45.0,3.881,13:54:45,4/22/2020,3.882
55:15.0,3.88,55:15.0,4/22/2020,3.881
55:30.0,3.881,55:30.0,4/22/2020,3.88
56:00.0,3.88,56:00.0,4/22/2020,3.881
56:30.0,3.881,13:56:30,4/22/2020,3.88
58:48.0,3.882,58:48.0,4/22/2020,3.881
59:03.0,3.883,59:03.0,4/22/2020,3.882
00:33.0,3.884,14:00:33,4/22/2020,3.883
00:48.0,3.883,14:00:48,4/22/2020,3.884
05:06.0,3.884,14:05:06,4/22/2020,3.883
06:06.0,3.885,06:06.0,4/22/2020,3.884
06:21.0,3.884,06:21.0,4/22/2020,3.885
07:06.0,3.885,14:07:06,4/22/2020,3.884
07:36.0,3.884,14:07:36,4/22/2020,3.885
07:51.0,3.882,14:07:51,4/22/2020,3.884
09:09.0,3.881,14:09:09,4/22/2020,3.882
09:54.0,3.882,09:54.0,4/22/2020,3.881
10:24.0,3.883,10:24.0,4/22/2020,3.882
10:39.0,3.885,10:39.0,4/22/2020,3.883
10:54.0,3.886,14:10:54,4/22/2020,3.885
11:54.0,3.887,14:11:54,4/22/2020,3.886
