timetamp,iopv,time,date,iopv_lag
27:42.0,3.896,10:27:42,4/20/2020,3.897
28:00.0,3.897,28:00.0,4/20/2020,3.896
28:15.0,3.896,10:28:15,4/20/2020,3.897
29:00.0,3.897,10:29:00,4/20/2020,3.896
29:45.0,3.896,29:45.0,4/20/2020,3.897
30:45.0,3.894,30:45.0,4/20/2020,3.896
31:15.0,3.893,10:31:15,4/20/2020,3.894
31:45.0,3.894,10:31:45,4/20/2020,3.893
32:00.0,3.895,10:32:00,4/20/2020,3.894
32:45.0,3.894,32:45.0,4/20/2020,3.895
35:48.0,3.895,10:35:48,4/20/2020,3.894
36:03.0,3.894,10:36:03,4/20/2020,3.895
36:48.0,3.893,36:48.0,4/20/2020,3.894
37:03.0,3.894,37:03.0,4/20/2020,3.893
37:18.0,3.893,37:18.0,4/20/2020,3.894
37:48.0,3.894,10:37:48,4/20/2020,3.893
38:48.0,3.895,10:38:48,4/20/2020,3.894
39:48.0,3.896,39:48.0,4/20/2020,3.895
41:06.0,3.897,41:06.0,4/20/2020,3.896
42:06.0,3.898,10:42:06,4/20/2020,3.897
44:51.0,3.899,10:44:51,4/20/2020,3.898
45:06.0,3.898,10:45:06,4/20/2020,3.899
45:21.0,3.899,10:45:21,4/20/2020,3.898
45:51.0,3.9,10:45:51,4/20/2020,3.899
47:06.0,3.898,47:06.0,4/20/2020,3.9
47:21.0,3.897,10:47:21,4/20/2020,3.898
47:36.0,3.896,10:47:36,4/20/2020,3.897
48:09.0,3.895,48:09.0,4/20/2020,3.896
48:39.0,3.894,10:48:39,4/20/2020,3.895
48:54.0,3.893,10:48:54,4/20/2020,3.894
49:09.0,3.894,10:49:09,4/20/2020,3.893
51:39.0,3.895,10:51:39,4/20/2020,3.894
51:54.0,3.894,10:51:54,4/20/2020,3.895
52:24.0,3.895,10:52:24,4/20/2020,3.894
53:24.0,3.896,53:24.0,4/20/2020,3.895
53:39.0,3.895,53:39.0,4/20/2020,3.896
53:54.0,3.896,53:54.0,4/20/2020,3.895
54:09.0,3.897,10:54:09,4/20/2020,3.896
56:12.0,3.896,10:56:12,4/20/2020,3.897
56:27.0,3.897,56:27.0,4/20/2020,3.896
57:12.0,3.896,57:12.0,4/20/2020,3.897
57:42.0,3.895,57:42.0,4/20/2020,3.896
57:57.0,3.894,57:57.0,4/20/2020,3.895
58:27.0,3.895,10:58:27,4/20/2020,3.894
59:12.0,3.894,10:59:12,4/20/2020,3.895
59:27.0,3.895,59:27.0,4/20/2020,3.894
00:45.0,3.896,00:45.0,4/20/2020,3.895
02:45.0,3.897,11:02:45,4/20/2020,3.896
03:30.0,3.898,03:30.0,4/20/2020,3.897
04:00.0,3.899,04:00.0,4/20/2020,3.898
04:30.0,3.898,04:30.0,4/20/2020,3.899
04:45.0,3.897,11:04:45,4/20/2020,3.898
05:00.0,3.898,11:05:00,4/20/2020,3.897
07:48.0,3.897,07:48.0,4/20/2020,3.898
08:33.0,3.896,08:33.0,4/20/2020,3.897
08:48.0,3.897,11:08:48,4/20/2020,3.896
09:03.0,3.896,11:09:03,4/20/2020,3.897
10:18.0,3.897,10:18.0,4/20/2020,3.896
10:33.0,3.898,10:33.0,4/20/2020,3.897
11:33.0,3.899,11:11:33,4/20/2020,3.898
12:51.0,3.898,11:12:51,4/20/2020,3.899
13:51.0,3.899,11:13:51,4/20/2020,3.898
14:36.0,3.9,14:36.0,4/20/2020,3.899
14:51.0,3.901,14:51.0,4/20/2020,3.9
15:21.0,3.902,15:21.0,4/20/2020,3.901
16:51.0,3.903,16:51.0,4/20/2020,3.902
17:21.0,3.904,17:21.0,4/20/2020,3.903
17:36.0,3.903,17:36.0,4/20/2020,3.904
18:06.0,3.904,18:06.0,4/20/2020,3.903
18:21.0,3.903,11:18:21,4/20/2020,3.904
18:36.0,3.904,11:18:36,4/20/2020,3.903
19:06.0,3.903,11:19:06,4/20/2020,3.904
19:54.0,3.904,11:19:54,4/20/2020,3.903
20:24.0,3.905,11:20:24,4/20/2020,3.904
21:09.0,3.906,21:09.0,4/20/2020,3.905
21:24.0,3.905,21:24.0,4/20/2020,3.906
21:39.0,3.904,21:39.0,4/20/2020,3.905
21:54.0,3.902,21:54.0,4/20/2020,3.904
22:39.0,3.903,11:22:39,4/20/2020,3.902
24:24.0,3.902,24:24.0,4/20/2020,3.903
