iopv,date,iopv_lag,time,timestamp
3.818,2020-04-17,3.8169999999999997,09:46:46,2020-04-17 09:46:46.000
3.819,2020-04-17,3.818,09:47:01,2020-04-17 09:47:01.000
3.82,2020-04-17,3.819,09:47:05,2020-04-17 09:47:05.000
3.822,2020-04-17,3.82,09:47:11,2020-04-17 09:47:11.000
3.823,2020-04-17,3.822,09:47:16,2020-04-17 09:47:16.000
3.824,2020-04-17,3.823,09:47:20,2020-04-17 09:47:20.000
3.826,2020-04-17,3.824,09:48:11,2020-04-17 09:48:11.000
3.8280000000000003,2020-04-17,3.826,09:48:56,2020-04-17 09:48:56.000
3.8289999999999997,2020-04-17,3.8280000000000003,09:49:11,2020-04-17 09:49:11.000
3.8280000000000003,2020-04-17,3.8289999999999997,09:49:35,2020-04-17 09:49:35.000
3.8289999999999997,2020-04-17,3.8280000000000003,09:49:41,2020-04-17 09:49:41.000
3.8280000000000003,2020-04-17,3.8289999999999997,09:49:47,2020-04-17 09:49:47.000
3.827,2020-04-17,3.8280000000000003,09:49:56,2020-04-17 09:49:56.000
3.8280000000000003,2020-04-17,3.827,09:50:17,2020-04-17 09:50:17.000
3.827,2020-04-17,3.8280000000000003,09:50:41,2020-04-17 09:50:41.000
3.8280000000000003,2020-04-17,3.827,09:50:46,2020-04-17 09:50:46.000
3.827,2020-04-17,3.8280000000000003,09:51:02,2020-04-17 09:51:02.000
3.826,2020-04-17,3.827,09:51:17,2020-04-17 09:51:17.000
3.825,2020-04-17,3.826,09:51:56,2020-04-17 09:51:56.000
3.826,2020-04-17,3.825,09:52:02,2020-04-17 09:52:02.000
3.825,2020-04-17,3.826,09:52:26,2020-04-17 09:52:26.000
3.826,2020-04-17,3.825,09:52:32,2020-04-17 09:52:32.000
3.827,2020-04-17,3.826,09:52:41,2020-04-17 09:52:41.000
3.8280000000000003,2020-04-17,3.827,09:53:02,2020-04-17 09:53:02.000
3.827,2020-04-17,3.8280000000000003,09:53:05,2020-04-17 09:53:05.000
3.8280000000000003,2020-04-17,3.827,09:53:11,2020-04-17 09:53:11.000
3.827,2020-04-17,3.8280000000000003,09:53:32,2020-04-17 09:53:32.000
3.826,2020-04-17,3.827,09:53:47,2020-04-17 09:53:47.000
3.825,2020-04-17,3.826,09:54:05,2020-04-17 09:54:05.000
3.826,2020-04-17,3.825,09:54:11,2020-04-17 09:54:11.000
3.825,2020-04-17,3.826,09:54:32,2020-04-17 09:54:32.000
3.824,2020-04-17,3.825,09:54:41,2020-04-17 09:54:41.000
3.823,2020-04-17,3.824,09:55:17,2020-04-17 09:55:17.000
3.824,2020-04-17,3.823,09:55:20,2020-04-17 09:55:20.000
3.825,2020-04-17,3.824,09:55:50,2020-04-17 09:55:50.000
3.826,2020-04-17,3.825,09:56:02,2020-04-17 09:56:02.000
3.825,2020-04-17,3.826,09:56:05,2020-04-17 09:56:05.000
3.826,2020-04-17,3.825,09:56:26,2020-04-17 09:56:26.000
3.827,2020-04-17,3.826,09:56:41,2020-04-17 09:56:41.000
3.8280000000000003,2020-04-17,3.827,09:57:02,2020-04-17 09:57:02.000
3.8289999999999997,2020-04-17,3.8280000000000003,09:57:17,2020-04-17 09:57:17.000
3.8280000000000003,2020-04-17,3.8289999999999997,09:57:26,2020-04-17 09:57:26.000
3.8289999999999997,2020-04-17,3.8280000000000003,09:57:32,2020-04-17 09:57:32.000
3.83,2020-04-17,3.8289999999999997,09:58:26,2020-04-17 09:58:26.000
3.8289999999999997,2020-04-17,3.83,09:59:32,2020-04-17 09:59:32.000
3.83,2020-04-17,3.8289999999999997,09:59:41,2020-04-17 09:59:41.000
3.8289999999999997,2020-04-17,3.83,09:59:47,2020-04-17 09:59:47.000
3.83,2020-04-17,3.8289999999999997,09:59:56,2020-04-17 09:59:56.000
3.8289999999999997,2020-04-17,3.83,10:00:02,2020-04-17 10:00:02.000
3.83,2020-04-17,3.8289999999999997,10:00:11,2020-04-17 10:00:11.000
3.8289999999999997,2020-04-17,3.83,10:00:17,2020-04-17 10:00:17.000
3.83,2020-04-17,3.8289999999999997,10:00:20,2020-04-17 10:00:20.000
3.8289999999999997,2020-04-17,3.83,10:00:32,2020-04-17 10:00:32.000
3.8280000000000003,2020-04-17,3.8289999999999997,10:00:50,2020-04-17 10:00:50.000
3.827,2020-04-17,3.8280000000000003,10:01:02,2020-04-17 10:01:02.000
3.826,2020-04-17,3.827,10:01:05,2020-04-17 10:01:05.000
3.825,2020-04-17,3.826,10:01:11,2020-04-17 10:01:11.000
3.824,2020-04-17,3.825,10:01:17,2020-04-17 10:01:17.000
3.823,2020-04-17,3.824,10:01:20,2020-04-17 10:01:20.000
3.822,2020-04-17,3.823,10:01:32,2020-04-17 10:01:32.000
3.821,2020-04-17,3.822,10:01:35,2020-04-17 10:01:35.000
3.82,2020-04-17,3.821,10:01:56,2020-04-17 10:01:56.000
3.819,2020-04-17,3.82,10:02:17,2020-04-17 10:02:17.000
3.82,2020-04-17,3.819,10:02:26,2020-04-17 10:02:26.000
3.821,2020-04-17,3.82,10:02:41,2020-04-17 10:02:41.000
3.822,2020-04-17,3.821,10:03:02,2020-04-17 10:03:02.000
3.823,2020-04-17,3.822,10:03:11,2020-04-17 10:03:11.000
3.822,2020-04-17,3.823,10:03:17,2020-04-17 10:03:17.000
3.823,2020-04-17,3.822,10:03:26,2020-04-17 10:03:26.000
3.825,2020-04-17,3.823,10:03:32,2020-04-17 10:03:32.000
3.826,2020-04-17,3.825,10:03:47,2020-04-17 10:03:47.000
3.827,2020-04-17,3.826,10:03:56,2020-04-17 10:03:56.000
3.8280000000000003,2020-04-17,3.827,10:04:02,2020-04-17 10:04:02.000
3.8289999999999997,2020-04-17,3.8280000000000003,10:04:05,2020-04-17 10:04:05.000
3.83,2020-04-17,3.8289999999999997,10:04:17,2020-04-17 10:04:17.000
3.8310000000000004,2020-04-17,3.83,10:04:20,2020-04-17 10:04:20.000
3.83,2020-04-17,3.8310000000000004,10:04:26,2020-04-17 10:04:26.000
3.8310000000000004,2020-04-17,3.83,10:04:41,2020-04-17 10:04:41.000
3.832,2020-04-17,3.8310000000000004,10:05:02,2020-04-17 10:05:02.000
3.8310000000000004,2020-04-17,3.832,10:06:26,2020-04-17 10:06:26.000
3.832,2020-04-17,3.8310000000000004,10:06:50,2020-04-17 10:06:50.000
3.833,2020-04-17,3.832,10:07:02,2020-04-17 10:07:02.000
3.832,2020-04-17,3.833,10:07:17,2020-04-17 10:07:17.000
3.833,2020-04-17,3.832,10:07:20,2020-04-17 10:07:20.000
3.832,2020-04-17,3.833,10:07:35,2020-04-17 10:07:35.000
3.8310000000000004,2020-04-17,3.832,10:08:20,2020-04-17 10:08:20.000
3.832,2020-04-17,3.8310000000000004,10:08:26,2020-04-17 10:08:26.000
3.8310000000000004,2020-04-17,3.832,10:08:32,2020-04-17 10:08:32.000
3.832,2020-04-17,3.8310000000000004,10:08:35,2020-04-17 10:08:35.000
3.8310000000000004,2020-04-17,3.832,10:08:41,2020-04-17 10:08:41.000
3.832,2020-04-17,3.8310000000000004,10:08:50,2020-04-17 10:08:50.000
3.8310000000000004,2020-04-17,3.832,10:08:56,2020-04-17 10:08:56.000
3.83,2020-04-17,3.8310000000000004,10:09:35,2020-04-17 10:09:35.000
3.8310000000000004,2020-04-17,3.83,10:09:50,2020-04-17 10:09:50.000
3.83,2020-04-17,3.8310000000000004,10:10:02,2020-04-17 10:10:02.000
3.8310000000000004,2020-04-17,3.83,10:10:05,2020-04-17 10:10:05.000
3.83,2020-04-17,3.8310000000000004,10:10:11,2020-04-17 10:10:11.000
3.8310000000000004,2020-04-17,3.83,10:10:17,2020-04-17 10:10:17.000
3.832,2020-04-17,3.8310000000000004,10:10:26,2020-04-17 10:10:26.000
3.833,2020-04-17,3.832,10:10:56,2020-04-17 10:10:56.000
3.8339999999999996,2020-04-17,3.833,10:11:20,2020-04-17 10:11:20.000
3.835,2020-04-17,3.8339999999999996,10:11:56,2020-04-17 10:11:56.000
3.8360000000000003,2020-04-17,3.835,10:12:02,2020-04-17 10:12:02.000
3.835,2020-04-17,3.8360000000000003,10:12:05,2020-04-17 10:12:05.000
3.8360000000000003,2020-04-17,3.835,10:12:17,2020-04-17 10:12:17.000
3.835,2020-04-17,3.8360000000000003,10:12:20,2020-04-17 10:12:20.000
3.8339999999999996,2020-04-17,3.835,10:12:26,2020-04-17 10:12:26.000
3.833,2020-04-17,3.8339999999999996,10:12:32,2020-04-17 10:12:32.000
3.832,2020-04-17,3.833,10:12:35,2020-04-17 10:12:35.000
3.8310000000000004,2020-04-17,3.832,10:13:11,2020-04-17 10:13:11.000
3.832,2020-04-17,3.8310000000000004,10:13:17,2020-04-17 10:13:17.000
3.833,2020-04-17,3.832,10:13:32,2020-04-17 10:13:32.000
3.8339999999999996,2020-04-17,3.833,10:13:50,2020-04-17 10:13:50.000
3.835,2020-04-17,3.8339999999999996,10:15:20,2020-04-17 10:15:20.000
3.8339999999999996,2020-04-17,3.835,10:15:26,2020-04-17 10:15:26.000
3.835,2020-04-17,3.8339999999999996,10:16:05,2020-04-17 10:16:05.000
3.8339999999999996,2020-04-17,3.835,10:16:09,2020-04-17 10:16:09.000
3.833,2020-04-17,3.8339999999999996,10:16:47,2020-04-17 10:16:47.000
3.832,2020-04-17,3.833,10:17:09,2020-04-17 10:17:09.000
3.8310000000000004,2020-04-17,3.832,10:17:47,2020-04-17 10:17:47.000
3.83,2020-04-17,3.8310000000000004,10:18:05,2020-04-17 10:18:05.000
3.8289999999999997,2020-04-17,3.83,10:18:35,2020-04-17 10:18:35.000
3.83,2020-04-17,3.8289999999999997,10:19:20,2020-04-17 10:19:20.000
3.8310000000000004,2020-04-17,3.83,10:20:05,2020-04-17 10:20:05.000
3.83,2020-04-17,3.8310000000000004,10:20:17,2020-04-17 10:20:17.000
3.8289999999999997,2020-04-17,3.83,10:21:17,2020-04-17 10:21:17.000
3.8280000000000003,2020-04-17,3.8289999999999997,10:21:26,2020-04-17 10:21:26.000
3.8289999999999997,2020-04-17,3.8280000000000003,10:21:32,2020-04-17 10:21:32.000
3.8280000000000003,2020-04-17,3.8289999999999997,10:22:17,2020-04-17 10:22:17.000
3.8289999999999997,2020-04-17,3.8280000000000003,10:22:32,2020-04-17 10:22:32.000
3.8280000000000003,2020-04-17,3.8289999999999997,10:22:40,2020-04-17 10:22:40.000
3.8289999999999997,2020-04-17,3.8280000000000003,10:22:50,2020-04-17 10:22:50.000
3.83,2020-04-17,3.8289999999999997,10:23:32,2020-04-17 10:23:32.000
3.8289999999999997,2020-04-17,3.83,10:23:40,2020-04-17 10:23:40.000
3.83,2020-04-17,3.8289999999999997,10:23:47,2020-04-17 10:23:47.000
3.8289999999999997,2020-04-17,3.83,10:24:20,2020-04-17 10:24:20.000
3.83,2020-04-17,3.8289999999999997,10:24:35,2020-04-17 10:24:35.000
3.8310000000000004,2020-04-17,3.83,10:25:26,2020-04-17 10:25:26.000
3.832,2020-04-17,3.8310000000000004,10:25:59,2020-04-17 10:25:59.000
3.833,2020-04-17,3.832,10:26:05,2020-04-17 10:26:05.000
3.832,2020-04-17,3.833,10:26:14,2020-04-17 10:26:14.000
3.833,2020-04-17,3.832,10:26:29,2020-04-17 10:26:29.000
3.832,2020-04-17,3.833,10:26:40,2020-04-17 10:26:40.000
3.833,2020-04-17,3.832,10:26:50,2020-04-17 10:26:50.000
3.8339999999999996,2020-04-17,3.833,10:27:35,2020-04-17 10:27:35.000
3.835,2020-04-17,3.8339999999999996,10:27:59,2020-04-17 10:27:59.000
3.8360000000000003,2020-04-17,3.835,10:28:14,2020-04-17 10:28:14.000
3.8369999999999997,2020-04-17,3.8360000000000003,10:28:47,2020-04-17 10:28:47.000
3.838,2020-04-17,3.8369999999999997,10:29:26,2020-04-17 10:29:26.000
3.8369999999999997,2020-04-17,3.838,10:29:29,2020-04-17 10:29:29.000
3.838,2020-04-17,3.8369999999999997,10:29:35,2020-04-17 10:29:35.000
3.839,2020-04-17,3.838,10:29:44,2020-04-17 10:29:44.000
3.838,2020-04-17,3.839,10:29:50,2020-04-17 10:29:50.000
3.839,2020-04-17,3.838,10:30:14,2020-04-17 10:30:14.000
3.838,2020-04-17,3.839,10:30:26,2020-04-17 10:30:26.000
3.8369999999999997,2020-04-17,3.838,10:30:40,2020-04-17 10:30:40.000
3.8360000000000003,2020-04-17,3.8369999999999997,10:30:59,2020-04-17 10:30:59.000
3.8369999999999997,2020-04-17,3.8360000000000003,10:31:59,2020-04-17 10:31:59.000
3.838,2020-04-17,3.8369999999999997,10:32:20,2020-04-17 10:32:20.000
3.839,2020-04-17,3.838,10:32:50,2020-04-17 10:32:50.000
3.84,2020-04-17,3.839,10:33:10,2020-04-17 10:33:10.000
3.839,2020-04-17,3.84,10:33:40,2020-04-17 10:33:40.000
3.838,2020-04-17,3.839,10:33:44,2020-04-17 10:33:44.000
3.8369999999999997,2020-04-17,3.838,10:36:20,2020-04-17 10:36:20.000
3.8360000000000003,2020-04-17,3.8369999999999997,10:37:35,2020-04-17 10:37:35.000
3.835,2020-04-17,3.8360000000000003,10:37:50,2020-04-17 10:37:50.000
3.8339999999999996,2020-04-17,3.835,10:38:26,2020-04-17 10:38:26.000
3.833,2020-04-17,3.8339999999999996,10:38:59,2020-04-17 10:38:59.000
3.8339999999999996,2020-04-17,3.833,10:39:11,2020-04-17 10:39:11.000
3.833,2020-04-17,3.8339999999999996,10:39:41,2020-04-17 10:39:41.000
3.8339999999999996,2020-04-17,3.833,10:39:50,2020-04-17 10:39:50.000
3.833,2020-04-17,3.8339999999999996,10:39:56,2020-04-17 10:39:56.000
3.8339999999999996,2020-04-17,3.833,10:40:05,2020-04-17 10:40:05.000
3.833,2020-04-17,3.8339999999999996,10:40:14,2020-04-17 10:40:14.000
3.8339999999999996,2020-04-17,3.833,10:40:26,2020-04-17 10:40:26.000
3.835,2020-04-17,3.8339999999999996,10:41:14,2020-04-17 10:41:14.000
3.8360000000000003,2020-04-17,3.835,10:41:50,2020-04-17 10:41:50.000
3.835,2020-04-17,3.8360000000000003,10:41:56,2020-04-17 10:41:56.000
3.8360000000000003,2020-04-17,3.835,10:41:59,2020-04-17 10:41:59.000
3.835,2020-04-17,3.8360000000000003,10:42:11,2020-04-17 10:42:11.000
3.8360000000000003,2020-04-17,3.835,10:42:14,2020-04-17 10:42:14.000
3.835,2020-04-17,3.8360000000000003,10:42:29,2020-04-17 10:42:29.000
3.8339999999999996,2020-04-17,3.835,10:45:11,2020-04-17 10:45:11.000
3.833,2020-04-17,3.8339999999999996,10:45:29,2020-04-17 10:45:29.000
3.8339999999999996,2020-04-17,3.833,10:45:35,2020-04-17 10:45:35.000
3.833,2020-04-17,3.8339999999999996,10:45:41,2020-04-17 10:45:41.000
3.832,2020-04-17,3.833,10:46:59,2020-04-17 10:46:59.000
3.8310000000000004,2020-04-17,3.832,10:47:59,2020-04-17 10:47:59.000
3.832,2020-04-17,3.8310000000000004,10:48:14,2020-04-17 10:48:14.000
3.8310000000000004,2020-04-17,3.832,10:48:20,2020-04-17 10:48:20.000
3.832,2020-04-17,3.8310000000000004,10:48:41,2020-04-17 10:48:41.000
3.8310000000000004,2020-04-17,3.832,10:50:11,2020-04-17 10:50:11.000
3.83,2020-04-17,3.8310000000000004,10:50:20,2020-04-17 10:50:20.000
3.8289999999999997,2020-04-17,3.83,10:50:56,2020-04-17 10:50:56.000
3.8280000000000003,2020-04-17,3.8289999999999997,10:50:59,2020-04-17 10:50:59.000
3.8289999999999997,2020-04-17,3.8280000000000003,10:51:11,2020-04-17 10:51:11.000
3.8280000000000003,2020-04-17,3.8289999999999997,10:51:14,2020-04-17 10:51:14.000
3.827,2020-04-17,3.8280000000000003,10:51:29,2020-04-17 10:51:29.000
3.826,2020-04-17,3.827,10:51:56,2020-04-17 10:51:56.000
3.825,2020-04-17,3.826,10:52:11,2020-04-17 10:52:11.000
3.824,2020-04-17,3.825,10:52:50,2020-04-17 10:52:50.000
3.825,2020-04-17,3.824,10:53:35,2020-04-17 10:53:35.000
3.826,2020-04-17,3.825,10:54:20,2020-04-17 10:54:20.000
3.825,2020-04-17,3.826,10:54:26,2020-04-17 10:54:26.000
3.826,2020-04-17,3.825,10:54:35,2020-04-17 10:54:35.000
3.827,2020-04-17,3.826,10:55:11,2020-04-17 10:55:11.000
3.8280000000000003,2020-04-17,3.827,10:55:26,2020-04-17 10:55:26.000
3.827,2020-04-17,3.8280000000000003,10:55:41,2020-04-17 10:55:41.000
3.8280000000000003,2020-04-17,3.827,10:55:44,2020-04-17 10:55:44.000
3.827,2020-04-17,3.8280000000000003,10:58:29,2020-04-17 10:58:29.000
3.826,2020-04-17,3.827,11:00:20,2020-04-17 11:00:20.000
3.827,2020-04-17,3.826,11:00:26,2020-04-17 11:00:26.000
3.8280000000000003,2020-04-17,3.827,11:01:35,2020-04-17 11:01:35.000
3.8289999999999997,2020-04-17,3.8280000000000003,11:01:56,2020-04-17 11:01:56.000
3.83,2020-04-17,3.8289999999999997,11:02:35,2020-04-17 11:02:35.000
3.8289999999999997,2020-04-17,3.83,11:02:59,2020-04-17 11:02:59.000
3.83,2020-04-17,3.8289999999999997,11:03:11,2020-04-17 11:03:11.000
3.8289999999999997,2020-04-17,3.83,11:03:41,2020-04-17 11:03:41.000
3.8280000000000003,2020-04-17,3.8289999999999997,11:05:14,2020-04-17 11:05:14.000
3.8289999999999997,2020-04-17,3.8280000000000003,11:05:20,2020-04-17 11:05:20.000
3.83,2020-04-17,3.8289999999999997,11:06:26,2020-04-17 11:06:26.000
3.8289999999999997,2020-04-17,3.83,11:06:35,2020-04-17 11:06:35.000
3.83,2020-04-17,3.8289999999999997,11:06:44,2020-04-17 11:06:44.000
3.8310000000000004,2020-04-17,3.83,11:08:20,2020-04-17 11:08:20.000
3.83,2020-04-17,3.8310000000000004,11:08:41,2020-04-17 11:08:41.000
3.8310000000000004,2020-04-17,3.83,11:08:50,2020-04-17 11:08:50.000
3.83,2020-04-17,3.8310000000000004,11:08:56,2020-04-17 11:08:56.000
3.8310000000000004,2020-04-17,3.83,11:08:59,2020-04-17 11:08:59.000
3.83,2020-04-17,3.8310000000000004,11:09:11,2020-04-17 11:09:11.000
3.8310000000000004,2020-04-17,3.83,11:09:14,2020-04-17 11:09:14.000
3.832,2020-04-17,3.8310000000000004,11:09:59,2020-04-17 11:09:59.000
3.833,2020-04-17,3.832,11:10:56,2020-04-17 11:10:56.000
3.832,2020-04-17,3.833,11:11:35,2020-04-17 11:11:35.000
3.833,2020-04-17,3.832,11:11:44,2020-04-17 11:11:44.000
3.832,2020-04-17,3.833,11:11:50,2020-04-17 11:11:50.000
3.8310000000000004,2020-04-17,3.832,11:12:05,2020-04-17 11:12:05.000
3.83,2020-04-17,3.8310000000000004,11:12:14,2020-04-17 11:12:14.000
3.8310000000000004,2020-04-17,3.83,11:12:20,2020-04-17 11:12:20.000
3.83,2020-04-17,3.8310000000000004,11:13:44,2020-04-17 11:13:44.000
3.8310000000000004,2020-04-17,3.83,11:13:50,2020-04-17 11:13:50.000
3.83,2020-04-17,3.8310000000000004,11:14:05,2020-04-17 11:14:05.000
3.8289999999999997,2020-04-17,3.83,11:15:13,2020-04-17 11:15:13.000
3.83,2020-04-17,3.8289999999999997,11:15:20,2020-04-17 11:15:20.000
3.8310000000000004,2020-04-17,3.83,11:16:20,2020-04-17 11:16:20.000
3.832,2020-04-17,3.8310000000000004,11:17:20,2020-04-17 11:17:20.000
3.833,2020-04-17,3.832,11:18:43,2020-04-17 11:18:43.000
3.8339999999999996,2020-04-17,3.833,11:19:29,2020-04-17 11:19:29.000
3.833,2020-04-17,3.8339999999999996,11:19:43,2020-04-17 11:19:43.000
3.8339999999999996,2020-04-17,3.833,11:20:11,2020-04-17 11:20:11.000
3.835,2020-04-17,3.8339999999999996,11:20:41,2020-04-17 11:20:41.000
3.8360000000000003,2020-04-17,3.835,11:21:05,2020-04-17 11:21:05.000
