timestamp,Iopv
15:02.1,3.792
15:04.5,3.792
15:07.5,3.792
15:10.5,3.792
15:13.5,3.792
15:16.5,3.792
15:34.5,3.792
15:40.5,3.792
15:49.5,3.792
15:52.4,3.792
15:55.5,3.792
16:07.4,3.792
16:25.4,3.792
16:28.5,3.792
16:31.4,3.792
16:34.5,3.792
16:40.5,3.792
16:43.5,3.792
17:04.5,3.792
17:07.5,3.792
17:10.5,3.792
17:22.5,3.792
17:37.5,3.792
17:52.5,3.792
18:07.5,3.792
18:13.5,3.792
18:22.5,3.792
18:37.5,3.792
18:43.5,3.792
18:46.5,3.792
18:55.5,3.792
19:01.5,3.792
19:04.5,3.792
19:13.5,3.792
19:16.5,3.792
19:19.5,3.792
19:25.5,3.792
19:34.5,3.792
19:37.5,3.792
19:43.5,3.792
19:46.5,3.792
19:55.5,3.792
20:01.5,3.792
20:04.5,3.792
20:07.5,3.792
20:10.5,3.792
20:16.5,3.792
20:19.5,3.792
20:22.5,3.792
20:25.5,3.792
20:31.5,3.792
20:34.5,3.792
20:43.5,3.792
20:46.5,3.792
20:49.5,3.792
20:52.5,3.792
20:55.5,3.792
21:01.5,3.792
21:04.5,3.792
21:07.5,3.792
21:10.5,3.792
21:13.5,3.792
21:16.5,3.792
21:25.5,3.792
21:28.5,3.792
21:31.5,3.792
21:34.5,3.792
21:37.5,3.792
21:43.5,3.792
21:46.5,3.792
21:49.5,3.792
21:52.5,3.792
21:55.5,3.792
21:58.5,3.792
22:04.5,3.792
22:07.5,3.792
22:10.5,3.792
22:13.5,3.792
22:16.5,3.792
22:19.5,3.792
22:25.5,3.792
22:34.5,3.792
22:37.5,3.792
22:40.5,3.792
22:46.5,3.792
22:49.5,3.792
22:52.5,3.792
22:58.5,3.792
23:01.5,3.792
23:04.5,3.792
23:07.5,3.792
23:16.5,3.792
23:19.5,3.792
23:22.5,3.792
23:25.5,3.792
23:28.5,3.792
23:31.5,3.792
23:34.5,3.792
23:37.5,3.792
23:40.5,3.792
23:43.5,3.792
23:46.5,3.792
23:49.5,3.792
23:52.5,3.792
23:55.5,3.792
23:58.5,3.792
24:04.5,3.792
24:07.5,3.792
24:10.5,3.792
24:13.5,3.792
24:16.5,3.792
24:19.5,3.792
24:22.5,3.792
24:25.5,3.792
24:28.5,3.792
24:31.5,3.792
24:34.5,3.792
24:37.5,3.792
24:40.5,3.792
24:43.5,3.792
24:46.5,3.792
24:49.5,3.792
24:52.5,3.792
24:55.5,3.792
24:58.5,3.792
25:01.0,3.798
25:06.0,3.804
25:11.0,3.82
30:01.5,3.82
30:04.5,3.821
30:07.5,3.821
30:10.5,3.821
30:13.5,3.821
30:16.5,3.823
30:19.5,3.823
30:22.5,3.823
30:25.5,3.824
30:28.5,3.824
30:31.5,3.823
30:34.5,3.823
30:37.5,3.823
30:40.5,3.823
30:43.5,3.823
30:46.5,3.823
30:49.5,3.822
30:52.5,3.822
30:55.5,3.821
30:58.5,3.821
31:01.5,3.82
31:04.5,3.82
31:07.5,3.82
31:10.5,3.82
31:13.5,3.82
31:16.5,3.819
31:19.5,3.818
31:22.5,3.818
31:25.5,3.818
31:28.4,3.818
31:31.5,3.818
31:34.5,3.817
31:37.5,3.817
31:40.5,3.818
31:43.5,3.818
31:46.5,3.818
31:49.5,3.818
31:52.5,3.818
31:55.5,3.819
31:58.5,3.819
32:01.5,3.819
32:04.5,3.819
32:07.5,3.819
32:10.5,3.819
32:13.5,3.819
32:16.5,3.819
32:19.5,3.819
32:22.5,3.819
32:25.5,3.819
32:28.5,3.819
32:31.5,3.819
32:34.5,3.82
32:37.4,3.82
32:40.5,3.82
32:43.5,3.82
32:46.5,3.82
32:49.5,3.821
32:52.5,3.821
32:55.5,3.821
32:58.5,3.821
33:01.4,3.82
33:04.5,3.821
33:07.4,3.821
33:10.5,3.821
33:13.5,3.821
33:16.5,3.82
33:19.5,3.82
33:22.5,3.82
33:25.5,3.819
33:28.5,3.819
33:31.5,3.819
33:34.5,3.818
33:37.5,3.818
33:40.5,3.818
33:43.5,3.818
33:46.5,3.817
33:49.5,3.818
33:52.5,3.818
33:55.5,3.817
33:58.5,3.817
34:01.5,3.817
34:04.5,3.817
34:07.5,3.817
34:10.5,3.817
34:13.4,3.817
34:16.5,3.818
34:19.5,3.818
34:22.5,3.818
34:25.5,3.818
34:28.5,3.818
34:31.5,3.818
34:34.5,3.817
34:37.5,3.817
34:40.5,3.817
34:43.5,3.817
34:46.5,3.817
34:49.5,3.817
34:52.5,3.817
34:55.5,3.817
34:58.5,3.817
35:01.5,3.817
35:04.5,3.816
35:07.5,3.816
35:10.5,3.816
35:13.5,3.816
35:16.5,3.816
35:19.5,3.816
35:22.5,3.816
35:25.5,3.817
35:28.5,3.817
35:31.5,3.817
35:34.5,3.816
35:37.5,3.816
35:40.5,3.817
35:43.5,3.817
35:46.5,3.817
35:49.5,3.817
35:52.5,3.817
35:55.5,3.817
35:58.5,3.817
36:01.5,3.817
36:04.5,3.817
36:07.5,3.817
36:10.5,3.816
36:13.5,3.816
36:16.5,3.815
36:19.5,3.815
36:22.5,3.815
36:25.5,3.815
36:28.5,3.815
36:31.5,3.814
36:34.5,3.813
36:37.5,3.813
36:40.5,3.814
36:43.5,3.814
36:46.5,3.814
36:49.5,3.814
36:52.5,3.814
36:55.5,3.814
36:58.5,3.814
37:01.5,3.814
37:04.5,3.814
37:07.5,3.814
37:10.5,3.813
37:13.5,3.813
37:16.5,3.813
37:19.5,3.814
37:22.5,3.814
37:25.5,3.813
37:28.5,3.813
37:31.5,3.812
37:34.5,3.812
37:37.5,3.812
37:40.5,3.812
37:43.5,3.812
37:46.5,3.811
37:49.5,3.812
37:52.4,3.812
37:55.5,3.811
37:58.5,3.811
38:01.5,3.811
38:04.5,3.81
38:07.5,3.81
38:10.5,3.81
38:13.5,3.81
38:16.5,3.81
38:19.5,3.811
38:22.5,3.811
38:25.5,3.811
38:28.5,3.811
38:31.5,3.811
38:34.5,3.812
38:37.5,3.812
38:40.5,3.812
38:43.5,3.812
38:46.5,3.812
38:49.5,3.812
38:52.5,3.812
38:55.5,3.813
38:58.5,3.813
39:01.5,3.813
39:04.5,3.813
39:07.5,3.813
39:10.5,3.813
39:13.5,3.813
39:16.5,3.813
39:19.5,3.813
39:22.5,3.813
39:25.5,3.813
39:28.5,3.813
39:31.5,3.814
